25 - й кадр
ai - полный задача
amd radeon software crimson
acta baltico - slavica
advanced disc filing system
amazon tall tower observatory
annual review of biophysics
archiv für slavische philologie
astronomical image processing system
c - реактивный белка
cee 7 / 5
conditional - access module
das u - boot
data base task group
european synchrotron radiation facility
extended system configuration data
fast healthcare interoperability resources
fiber to the x
gal4 / uas система
general parallel file system
germplasm resources information network
global education learning community
graduate management admission council
hubble deep field south
hubble extreme deep field
hubble ultra deep field
iec 60870 - 5
iras 05437 + 2502
iras 19340 + 2016
iso / iec 14443
iso / iec 15693
iso / iec 7816
information hyperlinked over proteins
international quantum communication award
international terrestrial reference frame
java evolutionary computation toolkit
journal of chemical physics
laser interferometer space antenna
link - local address
live usb system creator
locality - sensitive hashing
n - ацетилмурамовый кислота
n - гликолилнейраминовый кислота
nice guys finish first
olpc xo - 3
q - критерий розенбаум
reset - тест рамсеять
revue des études slaves
s - теорема климонт
security support provider interface
src - семейство киназа
t - критерий стьюдента
the cost of knowledge
ucsd p - system
web 3 . 0
windows display driver model
write anywhere file layout
x ( 4140 )
аиса « метрконтроль »
амф - активировать протеинкиназа
австралийский пятнистый кошачий акула
австралийский институт стратегический политика
австрало - новозеландский гнюс
автомат по приём тара
автоматизированный добыча полезный ископаемое
автоматика предотвращение нарушение устойчивость
автоматический запрос повторный передача
автономный сенсорный меридиональный реакция
административно - командный система
акинетико - ригидный синдром
аккумулятор с внутренний электроподогрев
аксиоматический квантовый теория поль
активированный частичный тромбопластиновый время
активностный - специфический подход
акторный - сетевой теория
акустико - мнестический афазия
алгонкинско - баскский пиджина
алгоритм баум — велш
алгоритм берлекэмп — мэсся
алгоритм булирша - штёра
алгоритм ванг - ландау
алгоритм гаусс — ньютон
алгоритм залки — визнера
алгоритм левенберг — марквардт
алгоритм любачевский — стилинжер
алгоритм нидлмана — вунша
алгоритм смит — ватермана
алгоритм шеннон — фано
алгоритм вычисление собственный значение
алгоритм свёрточный декодирование витерби
алгоритм шифрование в автосигнализация
амплитудный - частотный характеристика
анализ металл и сплав
анализ мочить по нечипоренко
анализ мочить по сулк
анализ функция многий переменный
антагонист nmda - рецептор
