id	token	Настя	Денис	Лена	tag	tag
0	Открытые	B-TERM	B-TERM	B-TERM	O	O
1	решения	I-TERM	I-TERM	I-TERM	O	O
2	веб	I-TERM	I-TERM	I-TERM	O	O
3	-	I-TERM	I-TERM	I-TERM	O	O
4	/	I-TERM	I-TERM	I-TERM	O	O
5	видеоконференцсвязи	I-TERM	I-TERM	I-TERM	O	O
6	и	O	O	O	O	O
7	проект	B-TERM	B-TERM	B-TERM	O	O
8	OpenMeetings	I-TERM	I-TERM	I-TERM	O	O
9	Открытые	B-TERM	B-TERM	B-TERM	O	O
10	программные	I-TERM	I-TERM	I-TERM	B-TERM	B-TERM
11	решения	I-TERM	I-TERM	I-TERM	I-TERM	I-TERM
12	веб	I-TERM	I-TERM	I-TERM	O	O
13	-	I-TERM	I-TERM	I-TERM	O	O
14	/	I-TERM	I-TERM	I-TERM	O	O
15	видеоконференцсвязи	I-TERM	I-TERM	I-TERM	O	O
16	анализируются	O	O	O	O	O
17	как	O	O	O	O	O
18	с	O	O	O	O	O
19	технологической	O	O	B-TERM	O	O
20	,	O	O	O	O	O
21	так	O	O	O	O	O
22	и	O	O	O	O	O
23	с	O	O	O	O	O
24	функциональной	B-TERM	O	B-TERM	O	O
25	сторон	I-TERM	O	I-TERM	O	O
26	в	O	O	O	O	O
27	масштабе	O	O	O	O	O
28	хорошо	O	O	O	O	O
29	развитого	O	O	O	O	O
30	ИТ	B-TERM	B-TERM	B-TERM	O	O
31	-	I-TERM	I-TERM	I-TERM	O	O
32	сегмента	I-TERM	I-TERM	I-TERM	O	O
33	ВКС	I-TERM	I-TERM	I-TERM	O	O
34	.	O	O	O	O	O
35	На	O	O	O	O	O
36	примере	O	O	O	O	O
37	международного	O	O	O	O	O
38	проекта	B-TERM	B-TERM	B-TERM	O	O
39	Apache	I-TERM	I-TERM	I-TERM	O	O
40	OpenMeetings	I-TERM	I-TERM	I-TERM	O	O
41	новосибирская	O	O	O	O	O
42	команда	O	O	O	O	O
43	разработчиков	O	O	O	O	O
44	детально	O	O	O	O	O
45	рассматривает	O	O	O	O	O
46	программные	B-TERM	B-TERM	B-TERM	O	O
47	,	O	O	O	O	O
48	пользовательские	B-TERM	B-TERM	B-TERM	O	O
49	,	O	O	O	O	O
50	сервисные	B-TERM	B-TERM	B-TERM	O	O
51	и	O	O	O	O	O
52	коммерческие	B-TERM	B-TERM	B-TERM	O	O
53	аспекты	I-TERM	I-TERM	I-TERM	O	O
54	таких	O	O	O	O	O
55	проектов	B-TERM	B-TERM	B-TERM	O	O
56	в	O	O	O	O	O
57	динамике	O	O	O	O	O
58	их	O	O	O	O	O
59	развития	O	O	O	O	O
60	.	O	O	O	O	O
61	Показаны	O	O	O	O	O
62	возможности	O	O	O	O	O
63	и	O	O	O	O	O
64	достоинства	O	O	O	O	O
65	,	O	O	O	O	O
66	обозначены	O	O	O	O	O
67	дальнейшие	O	O	O	O	O
68	перспективы	O	O	O	O	O
69	роста	O	O	O	O	O
70	.	O	O	O	O	O
