id	token	Настя	Денис	Лена	tag
0	Методика	B-TERM	B-TERM	B-TERM	O
1	повышения	I-TERM	I-TERM	I-TERM	O
2	производительности	I-TERM	I-TERM	I-TERM	O
3	небольших	I-TERM	I-TERM	I-TERM	O
4	информационных	I-TERM	I-TERM	I-TERM	B-TERM
5	систем	I-TERM	I-TERM	I-TERM	I-TERM
6	за	O	O	O	O
7	счет	O	O	O	O
8	оптимальной	B-TERM	O	B-TERM	O
9	реструктуризации	I-TERM	B-TERM	I-TERM	O
10	данных	I-TERM	I-TERM	I-TERM	O
11	на	O	O	O	O
12	основе	O	O	O	O
13	многомодального	B-TERM	B-TERM	B-TERM	O
14	распределения	I-TERM	I-TERM	I-TERM	O
15	атрибутов	I-TERM	I-TERM	I-TERM	O
16	Рассматривается	O	O	O	O
17	системный	B-TERM	B-TERM	B-TERM	O
18	подход	I-TERM	I-TERM	I-TERM	O
19	к	O	O	O	O
20	повышению	O	O	O	O
21	производительности	B-TERM	B-TERM	B-TERM	O
22	небольших	I-TERM	I-TERM	I-TERM	O
23	информационных	I-TERM	I-TERM	I-TERM	B-TERM
24	систем	I-TERM	I-TERM	I-TERM	I-TERM
25	за	O	O	O	O
26	счет	O	O	O	O
27	оптимальной	B-TERM	O	B-TERM	O
28	реструктуризации	I-TERM	B-TERM	I-TERM	O
29	табличных	I-TERM	I-TERM	I-TERM	O
30	структур	I-TERM	I-TERM	I-TERM	O
31	данных	I-TERM	I-TERM	I-TERM	O
32	.	O	O	O	O
33	Авторами	O	O	O	O
34	сформулирована	O	O	O	O
35	задача	B-TERM	B-TERM	B-TERM	B-TERM
36	оптимизации	I-TERM	I-TERM	I-TERM	I-TERM
37	количества	I-TERM	I-TERM	I-TERM	O
38	информационных	I-TERM	I-TERM	I-TERM	O
39	блоков	I-TERM	I-TERM	I-TERM	O
40	,	O	O	O	O
41	необходимых	O	O	O	O
42	для	O	O	O	O
43	выполнения	O	O	O	O
44	группы	B-TERM	B-TERM	B-TERM	O
45	запросов	I-TERM	I-TERM	I-TERM	O
46	на	O	O	O	O
47	считывание	B-TERM	O	B-TERM	O
48	информации	I-TERM	O	I-TERM	O
49	,	O	O	O	O
50	предложена	O	O	O	O
51	целевая	B-TERM	B-TERM	B-TERM	B-TERM
52	функция	I-TERM	I-TERM	I-TERM	I-TERM
53	и	O	O	O	O
54	структурные	B-TERM	B-TERM	B-TERM	O
55	ограничения	I-TERM	I-TERM	I-TERM	O
56	.	O	O	O	O
57	Проанализирована	O	O	O	O
58	невозможность	O	O	O	O
59	использования	O	O	O	O
60	грубых	B-TERM	O	B-TERM	O
61	методов	I-TERM	B-TERM	I-TERM	O
62	поиска	I-TERM	I-TERM	I-TERM	B-TERM
63	оптимального	I-TERM	I-TERM	I-TERM	I-TERM
64	решения	I-TERM	I-TERM	I-TERM	I-TERM
65	.	O	O	O	O
66	Предложена	O	O	O	O
67	методика	B-TERM	B-TERM	B-TERM	O
68	многомодального	I-TERM	I-TERM	I-TERM	O
69	распределения	I-TERM	I-TERM	I-TERM	O
70	атрибутов	I-TERM	I-TERM	I-TERM	O
71	в	O	O	O	O
72	зависимости	O	O	O	O
73	от	O	O	O	O
74	частоты	B-TERM	B-TERM	B-TERM	O
75	появления	I-TERM	I-TERM	I-TERM	O
76	в	O	O	O	O
77	группе	B-TERM	B-TERM	B-TERM	O
78	запросов	I-TERM	I-TERM	I-TERM	O
79	.	O	O	O	O
80	Проведен	O	O	O	O
81	эксперимент	O	B-TERM	B-TERM	O
82	,	O	O	O	O
83	подтверждающий	O	O	O	O
84	эффективность	O	O	O	O
85	разработанной	O	O	O	O
86	методики	B-TERM	B-TERM	B-TERM	O
87	для	O	O	O	O
88	небольших	B-TERM	O	O	O
89	информационных	I-TERM	B-TERM	B-TERM	B-TERM
90	систем	I-TERM	I-TERM	I-TERM	I-TERM
91	.	O	O	O	O
