id	token	Денис	Настя	Лена	auto_tag
0	Алгоритм	B-TERM	B-TERM	B-TERM	O
1	предобработки	I-TERM	I-TERM	I-TERM	O
2	сигнала	I-TERM	I-TERM	I-TERM	O
3	импульсного	I-TERM	I-TERM	I-TERM	O
4	нейтронного	I-TERM	I-TERM	I-TERM	O
5	гамма	I-TERM	I-TERM	I-TERM	O
6	-	I-TERM	I-TERM	I-TERM	O
7	каротажа	I-TERM	I-TERM	I-TERM	O
8	с	O	O	O	O
9	учетом	O	O	O	O
10	статистической	B-TERM	B-TERM	B-TERM	O
11	зависимости	I-TERM	I-TERM	I-TERM	O
12	соседних	O	O	O	O
13	элементов	B-TERM	B-TERM	B-TERM	O
14	спектра	I-TERM	I-TERM	I-TERM	O
					
15	На	O	O	O	O
16	фоне	O	O	O	O
17	множества	O	O	O	O
18	методов	B-TERM	B-TERM	B-TERM	O
19	проведения	I-TERM	O	O	O
20	геофизических	I-TERM	O	O	O
21	исследований	I-TERM	O	O	O
22	выделяется	O	O	O	O
23	и	O	O	O	O
24	является	O	O	O	O
25	одним	O	O	O	O
26	из	O	O	O	O
27	перспективных	O	O	O	O
28	,	O	O	O	O
29	за	O	O	O	O
30	счет	O	O	O	O
31	возможности	O	O	O	O
32	определения	O	O	O	O
33	состава	B-TERM	O	O	O
34	горных	I-TERM	O	O	O
35	пород	I-TERM	O	O	O
36	,	O	O	O	O
37	импульсный	B-TERM	B-TERM	B-TERM	O
38	нейтронный	I-TERM	I-TERM	I-TERM	O
39	гамма	I-TERM	I-TERM	I-TERM	O
40	-	I-TERM	I-TERM	I-TERM	O
41	каротаж	I-TERM	I-TERM	I-TERM	O
42	.	O	O	O	O
43	Однако	O	O	O	O
44	существуют	O	O	O	O
45	сложности	O	O	O	O
46	при	O	O	O	O
47	интерпретации	O	O	O	O
48	результатов	O	O	O	O
49	такого	O	O	O	O
50	исследования	O	O	O	O
51	.	O	O	O	O
52	Полученные	O	O	O	O
53	после	O	O	O	O
54	предварительной	O	O	O	O
55	обработки	O	O	O	O
56	сигнала	O	B-TERM	B-TERM	O
57	,	O	O	O	O
58	записанного	O	O	O	O
59	в	O	O	O	O
60	процессе	O	O	O	O
61	импульсного	B-TERM	B-TERM	B-TERM	O
62	нейтронного	I-TERM	I-TERM	I-TERM	O
63	гамма	I-TERM	I-TERM	I-TERM	O
64	-	I-TERM	I-TERM	I-TERM	O
65	каротажа	I-TERM	I-TERM	I-TERM	O
66	,	O	O	O	O
67	спектры	B-TERM	B-TERM	B-TERM	O
68	гамма	I-TERM	I-TERM	I-TERM	O
69	-	I-TERM	I-TERM	I-TERM	O
