id	token	Денис	Настя	auto_tag	Лена
0	Программное	B-TERM	B-TERM		B-TERM
1	обеспечение	I-TERM	I-TERM		I-TERM
2	на	O	O		O
3	основе	O	O		O
4	WEB	B-TERM	B-TERM		B-TERM
5	-	I-TERM	I-TERM		I-TERM
6	технологий	I-TERM	I-TERM		I-TERM
7	для	O	O		O
8	геонавигации	B-TERM	B-TERM		B-TERM
9	нефтегазовых	I-TERM	I-TERM		I-TERM
10	скважин	I-TERM	I-TERM		I-TERM
11	Для	O	O		O
12	эффективного	O	O		O
13	освоения	B-TERM	O		O
14	залежей	I-TERM	O		B-TERM
15	углеводородов	I-TERM	O		I-TERM
16	чрезвычайно	O	O		O
17	важной	O	O		O
18	становится	O	O		O
19	высокая	O	O		O
20	точность	B-TERM	B-TERM		O
21	проводки	I-TERM	B-TERM		B-TERM
22	горизонтальных	I-TERM	I-TERM		I-TERM
23	скважин	I-TERM	I-TERM		I-TERM
24	в	O	O		O
25	целевых	B-TERM	B-TERM		B-TERM
26	пластах	I-TERM	I-TERM		I-TERM
27	-	I-TERM	I-TERM		I-TERM
28	коллекторах	I-TERM	I-TERM		I-TERM
29	.	O	O		O
30	В	O	O		O
31	процессе	O	O		O
32	бурения	B-TERM	O		O
33	геонавигация	B-TERM	B-TERM		B-TERM
34	скважины	I-TERM	I-TERM		I-TERM
35	со	I-TERM	I-TERM		I-TERM
36	сложной	I-TERM	I-TERM		I-TERM
37	траекторией	I-TERM	I-TERM		I-TERM
38	выполняется	O	O		O
39	по	O	O		O
40	геофизическим	B-TERM	B-TERM		B-TERM
41	данным	I-TERM	I-TERM		I-TERM
42	в	O	O		O
43	реальном	O	O		O
44	масштабе	O	O		O
45	времени	O	O		O
46	.	O	O		O
47	Представленная	O	O		O
48	работа	O	O		O
49	посвящена	O	O		O
50	разработке	O	O		O
51	нового	O	O		O
52	программного	B-TERM	B-TERM		B-TERM
53	обеспечения	I-TERM	I-TERM		I-TERM
54	для	O	O		O
55	геонавигации	B-TERM	B-TERM		B-TERM
56	нефтегазовых	I-TERM	I-TERM		I-TERM
57	скважин	I-TERM	I-TERM		I-TERM
58	с	I-TERM	I-TERM		I-TERM
59	горизонтальным	I-TERM	I-TERM		I-TERM
60	завершением	I-TERM	I-TERM		I-TERM
61	.	O	O		O
62	Для	O	O		O
63	решения	O	O		O
64	задач	B-TERM	B-TERM		B-TERM
65	геонавигации	I-TERM	B-TERM		I-TERM
66	используются	O	O		O
67	алгоритмы	B-TERM	B-TERM		B-TERM
68	,	O	O		O
69	основанные	O	O		O
70	на	O	O		O
71	методах	B-TERM	B-TERM		B-TERM
72	корреляции	I-TERM	I-TERM		I-TERM
73	каротажных	I-TERM	B-TERM		I-TERM
74	данных	I-TERM	I-TERM		I-TERM
75	и	O	O		O
76	численной	B-TERM	B-TERM		B-TERM
77	инверсии	I-TERM	I-TERM		I-TERM
78	измерений	I-TERM	I-TERM		I-TERM
79	электромагнитного	I-TERM	I-TERM		I-TERM
80	каротажа	I-TERM	I-TERM		I-TERM
81	.	O	O		O
82	Разработанное	O	O		O
83	новое	O	O		O
84	программное	B-TERM	B-TERM		B-TERM
85	приложение	I-TERM	I-TERM		I-TERM
86	основано	O	O		O
87	на	O	O		O
88	web	B-TERM	B-TERM		B-TERM
89	-	I-TERM	I-TERM		I-TERM
90	технологиях	I-TERM	I-TERM		I-TERM
91	и	O	O		O
92	имеет	O	O		O
93	клиент	B-TERM	B-TERM		B-TERM
94	-	I-TERM	I-TERM		I-TERM
95	серверную	I-TERM	I-TERM		I-TERM
96	архитектуру	I-TERM	I-TERM		I-TERM
97	.	O	O		O
98	Для	O	O		O
99	оптимизации	B-TERM	B-TERM		B-TERM
100	времени	I-TERM	B-TERM		I-TERM
101	выполнения	I-TERM	I-TERM		I-TERM
102	ресурсоемких	I-TERM	I-TERM		I-TERM
103	расчётов	I-TERM	I-TERM		I-TERM
104	используются	O	O		O
105	высокопроизводительные	O	O		O
106	облачные	B-TERM	B-TERM		B-TERM
107	вычисления	I-TERM	I-TERM		I-TERM
108	.	O	O		O
