id	token	Денис	Настя	Лена
0	Платформа	B-TERM	B-TERM	B-TERM
1	комплексирования	I-TERM	I-TERM	I-TERM
2	и	I-TERM	I-TERM	I-TERM
3	тестирования	I-TERM	I-TERM	I-TERM
4	средств	I-TERM	I-TERM	I-TERM
5	трансформации	I-TERM	I-TERM	I-TERM
6	естественно	I-TERM	I-TERM	B-TERM
7	-	I-TERM	I-TERM	I-TERM
8	языковых	I-TERM	I-TERM	I-TERM
9	запросов	I-TERM	I-TERM	I-TERM
10	в	O	O	O
11	SPARQL	B-TERM	B-TERM	B-TERM
12	-	I-TERM	I-TERM	I-TERM
13	запросы	I-TERM	I-TERM	I-TERM
14	Статья	O	O	O
15	посвящена	O	O	O
16	вопросу	O	O	O
17	поддержки	O	O	O
18	процесса	O	O	O
19	создания	O	O	O
20	средства	B-TERM	B-TERM	B-TERM
21	трансформации	I-TERM	I-TERM	I-TERM
22	естественно	I-TERM	I-TERM	I-TERM
23	-	I-TERM	I-TERM	I-TERM
24	языковых	I-TERM	I-TERM	I-TERM
25	(	O	O	O
26	ЕЯ	B-TERM	B-TERM	B-TERM
27	)	O	O	O
28	запросов	B-TERM	I-TERM	B-TERM
29	в	O	O	O
30	SPARQL	B-TERM	B-TERM	B-TERM
31	-	I-TERM	I-TERM	I-TERM
32	запросы	I-TERM	I-TERM	I-TERM
33	(	O	O	O
34	далее	O	O	O
35	–	O	O	O
36	средство	B-TERM	B-TERM	B-TERM
37	трансформации	I-TERM	I-TERM	I-TERM
38	).	O	O	O
39	Во	O	O	O
40	введении	O	O	O
41	описаны	O	O	O
42	актуальность	B-TERM	O	O
43	задачи	B-TERM	O	B-TERM
44	понимания	I-TERM	O	I-TERM
45	естественно	I-TERM	B-TERM	I-TERM
46	-	I-TERM	I-TERM	I-TERM
47	языковых	I-TERM	I-TERM	I-TERM
48	запросов	I-TERM	I-TERM	I-TERM
49	информационными	B-TERM	B-TERM	B-TERM
50	системами	I-TERM	I-TERM	I-TERM
51	,	O	O	O
52	а	O	O	O
53	также	O	O	O
54	преимущества	O	O	O
55	использования	O	O	O
56	онтологий	O	B-TERM	B-TERM
57	как	O	O	O
58	средства	O	B-TERM	O
59	представления	B-TERM	I-TERM	B-TERM
60	знаний	I-TERM	I-TERM	I-TERM
61	для	O	O	O
62	решения	O	O	O
63	данной	O	O	O
64	задачи	B-TERM	B-TERM	B-TERM
65	.	O	O	O
66	Обозначена	O	O	O
67	роль	O	O	O
68	средств	B-TERM	B-TERM	B-TERM
69	трансформации	I-TERM	I-TERM	I-TERM
70	в	O	O	O
71	системах	B-TERM	B-TERM	B-TERM
72	с	O	I-TERM	I-TERM
73	ЕЯ	B-TERM	I-TERM	I-TERM
74	-	I-TERM	I-TERM	I-TERM
75	запросами	I-TERM	I-TERM	I-TERM
76	к	O	O	O
77	реляционным	B-TERM	B-TERM	B-TERM
78	базам	I-TERM	I-TERM	I-TERM
79	данных	I-TERM	I-TERM	I-TERM
80	.	O	O	O
81	На	O	O	O
82	основании	O	O	O
83	анализа	B-TERM	B-TERM	B-TERM
84	проблем	I-TERM	I-TERM	I-TERM
85	,	O	O	O
86	связанных	O	O	O
87	с	O	O	O
88	комплексированием	B-TERM	B-TERM	B-TERM
89	и	O	I-TERM	O
90	тестированием	B-TERM	I-TERM	B-TERM
91	существующих	O	I-TERM	O
92	средств	B-TERM	I-TERM	B-TERM
93	трансформации	I-TERM	I-TERM	I-TERM
94	,	O	O	O
95	а	O	O	O
96	также	O	O	O
97	с	O	O	O
98	целью	O	O	O
99	поддержки	O	O	O
100	создания	B-TERM	B-TERM	B-TERM
101	и	O	I-TERM	O
102	тестирования	B-TERM	I-TERM	B-TERM
103	собственных	O	I-TERM	O
104	модулей	B-TERM	I-TERM	B-TERM
105	трансформации	I-TERM	I-TERM	I-TERM
106	предложена	O	O	O
107	концепция	B-TERM	B-TERM	B-TERM
108	программной	I-TERM	I-TERM	I-TERM
