id	token	Денис	Настя	Лена		
0	Разработка	O	B-TERM	O		
1	программных	B-TERM	I-TERM	B-TERM		
2	средств	I-TERM	I-TERM	I-TERM		
3	прозрачного	I-TERM	I-TERM	I-TERM		
4	удаленного	I-TERM	I-TERM	I-TERM		
5	доступа	I-TERM	I-TERM	I-TERM		
6	к	O	I-TERM	O		
7	технологическим	B-TERM	I-TERM	B-TERM		
8	параметрам	I-TERM	I-TERM	I-TERM		
9	бурения	I-TERM	I-TERM	I-TERM		
10	и	O	I-TERM	O		
11	данным	O	I-TERM	O		
12	скважинной	B-TERM	I-TERM	B-TERM		
13	телеметрической	I-TERM	I-TERM	I-TERM		
14	системы	I-TERM	I-TERM	I-TERM		
15	в	O	O	O		
16	условиях	O	O	O		
17	нестабильной	O	B-TERM	B-TERM		
18	связи	B-TERM	I-TERM	I-TERM		
19	В	O	O	O		
20	процессе	O	O	O		
21	бурения	B-TERM	O	B-TERM		
22	нефтегазовых	I-TERM	B-TERM	I-TERM		
23	скважин	I-TERM	I-TERM	I-TERM		
24	требуется	O	O	O		
25	оказание	O	O	O		
26	удаленной	O	B-TERM	B-TERM		
27	поддержки	O	I-TERM	I-TERM		
28	с	O	O	O		
29	использованием	O	O	O		
30	существующих	O	O	O		
31	каналов	B-TERM	B-TERM	B-TERM		
32	связи	I-TERM	I-TERM	I-TERM		
33	с	O	O	O		
34	офисом	O	O	O		
35	,	O	O	O		
36	заключающейся	O	O	O		
37	в	O	O	O		
38	контроле	O	B-TERM	B-TERM		
39	параметров	O	I-TERM	I-TERM		
40	и	O	O	O		
41	принятии	O	B-TERM	B-TERM		
42	неотложных	O	I-TERM	I-TERM		
43	решений	O	I-TERM	I-TERM		
44	.	O	O	O		
45	Наиболее	O	O	O		
46	распространена	O	O	O		
47	спутниковая	B-TERM	B-TERM	B-TERM		
48	и	O	I-TERM	O		
49	мобильная	B-TERM	I-TERM	B-TERM		
50	связь	I-TERM	I-TERM	I-TERM		
51	,	O	O	O		
52	для	O	O	O		
53	которой	O	O	O		
54	характерна	O	O	O		
55	низкая	O	O	O		
56	скорость	B-TERM	B-TERM	B-TERM		
57	приема	I-TERM	I-TERM	I-TERM		
58	и	O	O	O		
59	передачи	B-TERM	I-TERM	B-TERM		
60	данных	I-TERM	I-TERM	I-TERM		
61	,	O	O	O		
